ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged_real,usd_goal_real
1000002330,The Words of Wise,Poetry,Publishing,USD,2017-12-28,2500,2017-11-28 12:12:28,275,successful,13,US,275.0,2500.0
1000004032,Short Story Collection,Poetry,Publishing,USD,2018-01-04,3000,2017-12-05 08:30:15,450,successful,22,US,450.0,3000.0
1000002548,First Album Project,Music,Music,USD,2018-01-15,5000,2017-12-16 14:20:00,12000,successful,150,GB,12000.0,5000.0
1000003291,Documentary Film,Documentary,Film & Video,USD,2018-02-01,15000,2017-12-03 09:15:00,8000,failed,45,US,8000.0,15000.0
1000004827,Indie Game Development,Games,Games,USD,2018-02-10,25000,2017-12-12 18:45:00,45000,successful,320,CA,45000.0,25000.0
1000002156,Tech Startup Platform,Technology,Technology,USD,2018-03-01,50000,2017-12-15 10:00:00,15000,failed,30,US,15000.0,50000.0
1000003982,Art Exhibition Space,Art,Art,USD,2018-03-15,8000,2017-12-20 16:30:00,8200,successful,65,GB,8200.0,8000.0
1000004567,Comedy Show Live,Performance,Theater,USD,2018-03-20,3000,2018-01-05 20:00:00,1500,failed,18,US,1500.0,3000.0
1000005123,Craft Beer Festival,Food,Food,USD,2018-04-01,12000,2018-01-10 11:00:00,14000,successful,200,AU,14000.0,12000.0
1000002876,Fashion Design Line,Fashion,Design,USD,2018-04-10,20000,2018-01-15 09:30:00,5000,canceled,25,FR,5000.0,20000.0
